,ID,Title,Author
0,86,"Biochemistry: the molecular basis of life(some pages cut at bottom) [3 ed.] 007231592X, 9780072315929","Trudy McKee, James McKee"
1,430,"Modern analytical chemistry [1 ed.] 9780072375473, 0072375477",David T Harvey
2,1121,Discrete Math in Computer Science [web draft ed.],"Bogart, Stein."
3,1150,"Computers and math series [4]Combinatorics for Computer Science 0881750204, 9780881750201",S. Gill Williamson
4,1306,"Wordware game math library3D Math Primer for Graphics and Game Development [1 ed.] 1556229119, 9781556229114, 9780585425436","Fletcher Dunn, Ian Parberry"
5,1412,"Algorithms  [1 ed.] 0073523402, 9780073523408","Sanjoy Dasgupta, Christos Papadimitriou, Umesh Vazirani"
6,3028,Topologie generale (Elements de math.),Bourbaki N.
7,3030,"Progr. Math.86The Grothendieck Festschrift [Volume 1] 9780817645663, 0817645667","Pierre Cartier, Luc Illusie, Nicholas M. Katz, Gérard Laumon, Yuri I. Manin, Kenneth A. Ribet"
8,3167,"You failed your math test, Comrade Einstein (about Soviet antisemitism) 9789812562791, 9812562796",M. Shifman
9,3359,"Math.134Algebras, bialgebras, quantum groups, and algebraic deformation","Gerstenhaber M., Schack D."
10,3372,Queen's papers pure appl. Math 49An introduction to homotopy theory via groupoids and universal constructions,Heath P.R.
11,3373,"Lie Groups History, Frontiers and Applications, Vol. 8Hilbert's invariant theory papers 0915692260, 9780915692262","David Hilbert, M. Ackerman, R. Hermann"
12,3398,J.Math.Phys.26 p2234Clifford and Grassmann like algebras: Old and New,Kwasniewski.
13,3411,Adv Math.78 p76The polytope algebra,McMullen P.
14,3729,"Enc Math.88Solving polynomial equation systems I: the Kronecker-Duval philosophy [1 ed.] 9780521811545, 0521811546",Teo Mora
15,3738,Ann.Math.Decision method for elementary algebra,Seidenberg A.
16,3778,"Ann.Math.Studies 148Triangulated Categories.  0691086869, 9780691086866",Amnon Neeman
17,3825,Illinois J.Math.42 p687Differential Galois theory 1,Pillay A.
18,3880,Birational geometry of foliations,Brunella M.
19,3904,"Progress in Math.75Enriques Surfaces I [1 ed.] 9780817634179, 0817634177","F. Cossec, Dolgachev"
20,3908,Russ Math.Surv 33Geometry of toric varieties,Danilov V.I.
21,3920,Topics in Local Algebra (Math. Lect. 10) [lectures ed.],Dieudonne J.
22,3988,"Cambridge Tracts in Math.151Frobenius manifolds and moduli spaces for singularities [1 ed.] 9780521812962, 0521812968",Claus Hertling
23,4016,A conjecture in arithmetic theory of differential equations (Bull. Soc. Math. Fr. 1982),Katz N.M.
24,4071,Sem. Math.Sup 47Introduction a la theorie des sites et son application a la construction des preschemas quotients 0-8405-0174-9,Miyanishi M.
25,ID,Title,Author(s)
26,4074,Duality between D(x) and D(x^) with its application to Picard sheaves,Mukai S.
27,4093,"Encyclopaedia of Mathematical SciencesAlgebraic geometry IV (Enc.Math.55, Springer 1994) [1 ed.] 3540546820, 9783540546825","A.N. Parshin, I.R. Shafarevich, V.L. Popov, T.A. Springer, E.B. Vinberg"
28,4125,"Enc Math.35Algebraic geometry II. Cohomology of algebraic varieties. Algebraic surfaces [1 ed.] 9783540546801, 3540546804","I.R. Shafarevich, I.R. Shafarevich, R. Treger, V.I. Danilov, V.A. Iskovskikh"
29,4159,"Cambridge Studies in Adv Math.76Hodge theory and complex algebraic geometry 1 [1st ed.] 0521802601, 9780521802604, 9780511063527","Claire Voisin, Leila Schneps"
30,4160,"Cambridge Studies in Adv Math.77Hodge theory and complex algebraic geometry 2 0521802830, 9780521802833, 9780511063558","Claire Voisin, Leila Schneps"
31,4283,"Chapman & Hall/CRC monographs and surveys in pure and applied mathAn elementary approach to homological algebra [1 ed.] 0203484088, 9781584884002, 9780203620922, 9780203484081, 1584884002",Vermani L.R.
32,4749,math ph_0005032Elementary introduction to groups and representations,Hall B.C.
33,4939,Galois theory. Notre Dame Math. Lect. 2 [2 ed.],Artin E.
34,5140,Ann.Math.120 p89Semiclassical Analysis of Low Lying Eigenvalues II,Simon B.
35,5148,Stud Appl Math.90 p225Use of invariance condition in multiple-scale singular perturbation problems,Woodruff S.L.
36,5214,math PR_0312132Approximation of integrals over asymptotic sets with applications to statistics and probability,Barbe P.
37,5297,"Monographs and Surveys in Pure and Applied MathFractional Cauchy transform [1 ed.] 1584885602, 9781584885603","Rita A. Hibschweiler, Thomas H. MacGregor"
38,5333,in Math.ExcaliburFunctional equations,Li K.Y.
39,5363,Am Math.Mon 76 p871Formal power series,Niven I.
40,5833,Bull. Sec. Sci. MathInterpolation de fractions continues et irrationalite de certaines constantes [Tome III],Apery R.
41,5837,J.reine angew Math.480 p141Explicit evaluations of the Rogers-Ramanujan continued fraction,"Berndt B.C., Chan H.H., Zhang L.C."
42,6046,"Group analysis of ODEs and the invariance principle in mathematical physics (Russ.Math.Surv. 47, n.4, 89-156)",Ibragimov N.Kh.
43,6047,Russ Math.Surv 46Hierarchy of Huygens equations in spaces with a nontrivial conformal group,"Ibragimov N.Kh., Oganesyan A.O."
44,6050,Archiv d Math.und Phys.Gruenert 54 p209Etude sur l'integration des equations aux derivees part. du 2me ordre,Imschenetsky V.G.
45,6051,Archiv d Math.u Phys.Bd 54Etude sur les methodes d'integration des equations aux derivees partielles du second ordre,Imschenetsky V.G.
46,6052,Archiv d Math.und Phys.Gruenert 50 p278Sur l'integration des equations aux derivees part. du 1er ordre,Imschenetsky V.G.
47,6053,"Sur l'integration des equations aux derivees partielles du 1er ordre (Archiv d.Math.u.Phys.1869,Bd.50)",Imschenetsky V.G.
48,6057,Mem. Sci Math.21Les systemes d'equations aux derivees part,Janet M.
49,6071,Inv. Math.Algebraic solutions of ODE using p-adic numbers,Katz N.M.
50,6084,"AMS Math.Surv 85Spectral Problems Associated with Corner Singularities of Solutions to Elliptic Equations 9780821827277, 0821827278",V. A. Kozlov
51,ID,Title,Author(s)
52,6086,AMS Math.Surveys 85Spectral Problems Associated with Corner Singularities of Solutions to Elliptic Equations,"Kozlov V.A., Maz'ya V.G., Rossmann J."
53,6106,"Algebraic aspects of nonlinear differential equations (J.Sov.Math. 11, 1979, 1-122)",Manin Yu.I.
54,6153,Mem. Sci. MathMethodes classiques d'integration desequations aux derivees partielles du premier ordre,Saltykow M.N.
55,6205,"Lie Groups ; V. 14The geometric theory of ODEs and algebraic functions 0915692384, 9780915692385",Georges Valiron
56,6215,"Math.AnnOn the partial differential equations of mathematical physics 9780198569039, 0-19-856903-3",Juan Luis Vazquez
57,6471,"Mathematics, Basic math and algebra [Course ed.]",
58,6880,"Monographs and Surveys in Pure and Applied MathIsometries on Banach spaces: function spaces [1 ed.] 1584880406, 9781584880400","Richard J. Fleming, James E. Jamison"
59,6883,Expo Math.20 p143Smooth bump functions and the geometry of Banach spaces: a brief survey,"Fry R., McManus S."
60,7397,"Lie Groups : History, Frontiers and Applications Series, No 2Ricci and Levi-Civita's tensor analysis papers 0915692112, 9780915692118",Robert Hermann
61,7451,Calculus of variations,Bliss G.A.
62,7627,Enumerative theory of singularities Symposium Math,Kleiman S.L.
63,7628,Proc Symp Pure Math.46Intersection theory and enumerative geometry: a decade in review,Kleiman S.L.
64,7641,Expo. MathGeometry of Minkowski spaces. Survey [Part 2],"Martini H., Swanepoel K."
65,7642,Expo Math.19Geometry of Minkowski spaces. Survey [Part 1],"Martini H., Swanepoel K., Weiss G."
66,7678,"Deformation of structures on manifolds defined by transitive, continuous pseudogroups (Ann. of Math., 1962-1965) [parts I, II, III]",Spencer D.C.
